t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.881752e-01	5.267393e-07	5000
2	100	9.807184e-01	3.365457e-06	5000
3	100	9.730306e-01	1.032245e-05	5000
4	100	9.653171e-01	2.224763e-05	5000
5	100	9.576444e-01	4.183619e-05	5000
6	100	9.500999e-01	6.715073e-05	5000
7	100	9.425910e-01	1.026176e-04	5000
8	100	9.349606e-01	1.533196e-04	5000
9	100	9.274554e-01	2.098072e-04	5000
10	100	9.200289e-01	2.764647e-04	5000
11	100	9.126870e-01	3.561732e-04	5000
12	100	9.055566e-01	4.601919e-04	5000
13	100	8.980724e-01	5.765776e-04	5000
14	100	8.910765e-01	7.069190e-04	5000
15	100	8.842920e-01	8.387002e-04	5000
16	100	8.770041e-01	9.946343e-04	5000
17	100	8.704397e-01	1.084669e-03	5000
18	100	8.635870e-01	1.260764e-03	5000
19	100	8.566954e-01	1.455696e-03	5000
20	100	8.499673e-01	1.687470e-03	5000
21	100	8.432820e-01	1.964387e-03	5000
22	100	8.363973e-01	2.257204e-03	5000
23	100	8.294656e-01	2.488749e-03	5000
24	100	8.223368e-01	2.826566e-03	5000
25	100	8.156110e-01	3.100944e-03	5000
26	100	8.092021e-01	3.347690e-03	5000
27	100	8.028129e-01	3.650703e-03	5000
28	100	7.964443e-01	3.968787e-03	5000
29	100	7.905826e-01	4.204541e-03	5000
30	100	7.840649e-01	4.543034e-03	5000
31	100	7.779982e-01	4.966396e-03	5000
32	100	7.715477e-01	5.379136e-03	5000
33	100	7.651329e-01	5.887062e-03	5000
34	100	7.590532e-01	6.254692e-03	5000
35	100	7.532922e-01	6.531320e-03	5000
36	100	7.479119e-01	6.949083e-03	5000
37	100	7.416802e-01	7.448316e-03	5000
38	100	7.358671e-01	7.911979e-03	5000
39	100	7.300080e-01	8.309200e-03	5000
40	100	7.245228e-01	8.633758e-03	5000
41	100	7.192067e-01	9.066401e-03	5000
42	100	7.135839e-01	9.422119e-03	5000
43	100	7.079320e-01	1.017052e-02	5000
44	100	7.024180e-01	1.051212e-02	5000
45	100	6.967030e-01	1.105097e-02	5000
46	100	6.915645e-01	1.155382e-02	5000
47	100	6.859385e-01	1.207895e-02	5000
48	100	6.813451e-01	1.233827e-02	5000
49	100	6.756162e-01	1.298289e-02	5000
50	100	6.703338e-01	1.351962e-02	5000
51	100	6.654329e-01	1.400073e-02	5000
52	100	6.602402e-01	1.425745e-02	5000
53	100	6.548164e-01	1.468588e-02	5000
54	100	6.498690e-01	1.507862e-02	5000
55	100	6.450892e-01	1.554958e-02	5000
56	100	6.401014e-01	1.593626e-02	5000
57	100	6.352300e-01	1.646144e-02	5000
58	100	6.293767e-01	1.695545e-02	5000
59	100	6.244088e-01	1.760481e-02	5000
60	100	6.198839e-01	1.794246e-02	5000
61	100	6.151577e-01	1.844482e-02	5000
62	100	6.106899e-01	1.893357e-02	5000
63	100	6.061190e-01	1.956133e-02	5000
64	100	6.013835e-01	2.018777e-02	5000
65	100	5.964790e-01	2.067608e-02	5000
66	100	5.922391e-01	2.115783e-02	5000
67	100	5.880660e-01	2.156442e-02	5000
68	100	5.828644e-01	2.242362e-02	5000
69	100	5.781873e-01	2.297365e-02	5000
70	100	5.736526e-01	2.354098e-02	5000
71	100	5.692285e-01	2.402559e-02	5000
72	100	5.648663e-01	2.458405e-02	5000
73	100	5.606534e-01	2.502494e-02	5000
74	100	5.559518e-01	2.550590e-02	5000
75	100	5.507751e-01	2.612454e-02	5000
76	100	5.464874e-01	2.677388e-02	5000
77	100	5.423926e-01	2.739301e-02	5000
78	100	5.376563e-01	2.801767e-02	5000
79	100	5.335352e-01	2.843655e-02	5000
80	100	5.292341e-01	2.902190e-02	5000
81	100	5.254034e-01	2.940594e-02	5000
82	100	5.213854e-01	2.980250e-02	5000
83	100	5.166891e-01	3.028715e-02	5000
84	100	5.120774e-01	3.092080e-02	5000
85	100	5.082002e-01	3.135398e-02	5000
86	100	5.039640e-01	3.166450e-02	5000
87	100	5.003965e-01	3.215061e-02	5000
88	100	4.963155e-01	3.247022e-02	5000
89	100	4.926983e-01	3.280273e-02	5000
90	100	4.884555e-01	3.336134e-02	5000
91	100	4.849332e-01	3.377687e-02	5000
92	100	4.810757e-01	3.410076e-02	5000
93	100	4.770478e-01	3.459014e-02	5000
94	100	4.735852e-01	3.499053e-02	5000
95	100	4.693770e-01	3.544017e-02	5000
96	100	4.659223e-01	3.586057e-02	5000
97	100	4.619298e-01	3.625374e-02	5000
98	100	4.579488e-01	3.683273e-02	5000
99	100	4.537993e-01	3.714369e-02	5000
100	100	4.502798e-01	3.756752e-02	5000
101	100	4.477436e-01	3.783013e-02	5000
102	100	4.447268e-01	3.810324e-02	5000
103	100	4.410863e-01	3.862016e-02	5000
104	100	4.373102e-01	3.922297e-02	5000
105	100	4.338908e-01	3.954715e-02	5000
106	100	4.304113e-01	3.997357e-02	5000
107	100	4.268319e-01	4.025243e-02	5000
108	100	4.236971e-01	4.050908e-02	5000
109	100	4.205221e-01	4.062583e-02	5000
110	100	4.171894e-01	4.105719e-02	5000
111	100	4.132603e-01	4.134227e-02	5000
112	100	4.102239e-01	4.160595e-02	5000
113	100	4.083327e-01	4.181376e-02	5000
114	100	4.047933e-01	4.211283e-02	5000
115	100	4.017194e-01	4.225431e-02	5000
116	100	3.989723e-01	4.241998e-02	5000
117	100	3.960000e-01	4.264707e-02	5000
118	100	3.931941e-01	4.294050e-02	5000
119	100	3.909980e-01	4.319977e-02	5000
120	100	3.876160e-01	4.341385e-02	5000
121	100	3.840734e-01	4.369871e-02	5000
122	100	3.812805e-01	4.402015e-02	5000
123	100	3.783954e-01	4.409652e-02	5000
124	100	3.757695e-01	4.450083e-02	5000
125	100	3.732343e-01	4.470182e-02	5000
126	100	3.703695e-01	4.503056e-02	5000
127	100	3.676312e-01	4.496554e-02	5000
128	100	3.643736e-01	4.509269e-02	5000
129	100	3.615688e-01	4.525112e-02	5000
130	100	3.579711e-01	4.534134e-02	5000
131	100	3.540847e-01	4.534247e-02	5000
132	100	3.507744e-01	4.549335e-02	5000
133	100	3.487424e-01	4.551087e-02	5000
134	100	3.464106e-01	4.570374e-02	5000
135	100	3.440686e-01	4.602718e-02	5000
136	100	3.413551e-01	4.606074e-02	5000
137	100	3.388886e-01	4.623016e-02	5000
138	100	3.360602e-01	4.653879e-02	5000
139	100	3.329313e-01	4.654013e-02	5000
140	100	3.306036e-01	4.659972e-02	5000
141	100	3.281277e-01	4.675796e-02	5000
142	100	3.250923e-01	4.703601e-02	5000
143	100	3.226992e-01	4.702185e-02	5000
144	100	3.200575e-01	4.711216e-02	5000
145	100	3.175776e-01	4.719022e-02	5000
146	100	3.143932e-01	4.715155e-02	5000
147	100	3.112109e-01	4.711638e-02	5000
148	100	3.079940e-01	4.724703e-02	5000
149	100	3.050867e-01	4.720589e-02	5000
150	100	3.028651e-01	4.717030e-02	5000
151	100	3.008568e-01	4.727719e-02	5000
152	100	2.975753e-01	4.732571e-02	5000
153	100	2.951454e-01	4.734745e-02	5000
154	100	2.926995e-01	4.735529e-02	5000
155	100	2.903179e-01	4.741667e-02	5000
156	100	2.871490e-01	4.725498e-02	5000
157	100	2.848041e-01	4.735633e-02	5000
158	100	2.823448e-01	4.740715e-02	5000
159	100	2.793289e-01	4.742700e-02	5000
160	100	2.764728e-01	4.720386e-02	5000
161	100	2.742155e-01	4.734645e-02	5000
162	100	2.719642e-01	4.741915e-02	5000
163	100	2.700697e-01	4.741596e-02	5000
164	100	2.677816e-01	4.738143e-02	5000
165	100	2.654827e-01	4.753373e-02	5000
166	100	2.637273e-01	4.758991e-02	5000
167	100	2.622644e-01	4.761071e-02	5000
168	100	2.605263e-01	4.770533e-02	5000
