t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	-4.898331e-15	500
1	101	9.900894e-01	2.400756e-07	500
2	102	9.851790e-01	1.154129e-06	500
3	103	9.804752e-01	2.855410e-06	500
4	104	9.758119e-01	5.895066e-06	500
5	105	9.712122e-01	1.072426e-05	500
6	106	9.665886e-01	1.849760e-05	500
7	107	9.619774e-01	2.782808e-05	500
8	108	9.576056e-01	3.749152e-05	500
9	109	9.532003e-01	5.276073e-05	500
10	110	9.490560e-01	6.795113e-05	500
11	111	9.447074e-01	9.331243e-05	500
12	112	9.402101e-01	1.297937e-04	500
13	113	9.360566e-01	1.581695e-04	500
14	114	9.321694e-01	1.972144e-04	500
15	115	9.278718e-01	2.120195e-04	500
16	116	9.241445e-01	2.442895e-04	500
17	117	9.199215e-01	3.051902e-04	500
18	118	9.163393e-01	3.653531e-04	500
19	119	9.119698e-01	4.315741e-04	500
20	120	9.083822e-01	4.838165e-04	500
21	121	9.051361e-01	5.114697e-04	500
22	122	9.004155e-01	5.932602e-04	500
23	123	8.969264e-01	6.466860e-04	500
24	124	8.935303e-01	6.467248e-04	500
25	125	8.898484e-01	6.899513e-04	500
26	126	8.866823e-01	7.557847e-04	500
27	127	8.835506e-01	7.704871e-04	500
28	128	8.796779e-01	8.483673e-04	500
29	129	8.759327e-01	9.969041e-04	500
30	130	8.721465e-01	1.147066e-03	500
31	131	8.693604e-01	1.259692e-03	500
32	132	8.664190e-01	1.333500e-03	500
33	133	8.623152e-01	1.455404e-03	500
34	134	8.588734e-01	1.529676e-03	500
35	135	8.554890e-01	1.690711e-03	500
36	136	8.525453e-01	1.755891e-03	500
37	137	8.491346e-01	1.907261e-03	500
38	138	8.459501e-01	2.102862e-03	500
39	139	8.429915e-01	2.193314e-03	500
40	140	8.398034e-01	2.370118e-03	500
41	141	8.366263e-01	2.538673e-03	500
42	142	8.344318e-01	2.673827e-03	500
43	143	8.323785e-01	2.740342e-03	500
44	144	8.301809e-01	2.947257e-03	500
45	145	8.270521e-01	3.007041e-03	500
46	146	8.244441e-01	3.081123e-03	500
47	147	8.216551e-01	3.291463e-03	500
48	148	8.182914e-01	3.449932e-03	500
49	149	8.166664e-01	3.489051e-03	500
50	150	8.145358e-01	3.737055e-03	500
51	151	8.127541e-01	3.817344e-03	500
52	152	8.103681e-01	3.929971e-03	500
53	153	8.076483e-01	4.064915e-03	500
54	154	8.036794e-01	4.351754e-03	500
55	155	8.003485e-01	4.511540e-03	500
56	156	7.988953e-01	4.364233e-03	500
57	157	7.966588e-01	4.323733e-03	500
58	158	7.944543e-01	4.327911e-03	500
59	159	7.915252e-01	4.482130e-03	500
60	160	7.902910e-01	4.421750e-03	500
61	161	7.877163e-01	4.563367e-03	500
62	162	7.855345e-01	4.670154e-03	500
63	163	7.820192e-01	4.983089e-03	500
64	164	7.802452e-01	5.144459e-03	500
65	165	7.778347e-01	5.176575e-03	500
66	166	7.750235e-01	5.297129e-03	500
67	167	7.732983e-01	5.393599e-03	500
68	168	7.705876e-01	5.478062e-03	500
69	169	7.674392e-01	5.877583e-03	500
70	170	7.654858e-01	5.983282e-03	500
71	171	7.637054e-01	6.012456e-03	500
72	172	7.621668e-01	6.082660e-03	500
73	173	7.601564e-01	6.277460e-03	500
74	174	7.572613e-01	6.516702e-03	500
75	175	7.545108e-01	6.736030e-03	500
76	176	7.528373e-01	6.773434e-03	500
77	177	7.501996e-01	6.846194e-03	500
78	178	7.474174e-01	7.067491e-03	500
79	179	7.447216e-01	7.335683e-03	500
80	180	7.420908e-01	7.723391e-03	500
81	181	7.419906e-01	7.439466e-03	500
82	182	7.397087e-01	7.617538e-03	500
83	183	7.378367e-01	7.433708e-03	500
