t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.689273e-01	1.185367e-06	5000
2	100	9.440320e-01	5.289951e-05	5000
3	100	9.198413e-01	2.232090e-04	5000
4	100	8.960592e-01	5.574570e-04	5000
5	100	8.730226e-01	1.055811e-03	5000
6	100	8.511962e-01	1.638579e-03	5000
7	100	8.294515e-01	2.378186e-03	5000
8	100	8.080523e-01	3.287646e-03	5000
9	100	7.865322e-01	4.533140e-03	5000
10	100	7.662163e-01	5.756528e-03	5000
11	100	7.473179e-01	6.957039e-03	5000
12	100	7.275856e-01	8.640711e-03	5000
13	100	7.090222e-01	1.009900e-02	5000
14	100	6.905877e-01	1.166377e-02	5000
15	100	6.722913e-01	1.352556e-02	5000
16	100	6.559543e-01	1.471780e-02	5000
17	100	6.374838e-01	1.688547e-02	5000
18	100	6.224323e-01	1.855750e-02	5000
19	100	6.073596e-01	2.032007e-02	5000
20	100	5.910883e-01	2.218090e-02	5000
21	100	5.756930e-01	2.382384e-02	5000
22	100	5.615997e-01	2.536812e-02	5000
23	100	5.489648e-01	2.691595e-02	5000
24	100	5.350916e-01	2.851731e-02	5000
25	100	5.226023e-01	2.986782e-02	5000
26	100	5.092642e-01	3.124694e-02	5000
27	100	4.957159e-01	3.319285e-02	5000
28	100	4.825320e-01	3.478607e-02	5000
29	100	4.712764e-01	3.619411e-02	5000
30	100	4.594938e-01	3.720455e-02	5000
31	100	4.469567e-01	3.881126e-02	5000
32	100	4.361593e-01	3.977133e-02	5000
33	100	4.255008e-01	4.073226e-02	5000
34	100	4.140496e-01	4.195763e-02	5000
35	100	4.035939e-01	4.288107e-02	5000
36	100	3.933648e-01	4.343465e-02	5000
37	100	3.824468e-01	4.399561e-02	5000
38	100	3.731422e-01	4.432238e-02	5000
39	100	3.647919e-01	4.482798e-02	5000
40	100	3.550092e-01	4.545605e-02	5000
41	100	3.459891e-01	4.591015e-02	5000
42	100	3.377901e-01	4.649380e-02	5000
43	100	3.288829e-01	4.647504e-02	5000
44	100	3.213340e-01	4.682062e-02	5000
45	100	3.131960e-01	4.689492e-02	5000
46	100	3.050934e-01	4.690526e-02	5000
47	100	2.975603e-01	4.673774e-02	5000
48	100	2.902235e-01	4.705238e-02	5000
49	100	2.827503e-01	4.738904e-02	5000
50	100	2.753329e-01	4.740214e-02	5000
51	100	2.683822e-01	4.728476e-02	5000
52	100	2.621755e-01	4.707542e-02	5000
53	100	2.549368e-01	4.720014e-02	5000
54	100	2.463164e-01	4.679159e-02	5000
55	100	2.396927e-01	4.664239e-02	5000
56	100	2.339373e-01	4.668145e-02	5000
57	100	2.280537e-01	4.684681e-02	5000
58	100	2.222480e-01	4.643577e-02	5000
59	100	2.174690e-01	4.607957e-02	5000
60	100	2.121220e-01	4.579368e-02	5000
61	100	2.067753e-01	4.536256e-02	5000
62	100	2.001355e-01	4.475625e-02	5000
