t	PopSize	m_Het	s2_Het	n_Het
0	500	9.990000e-01	1.726566e-13	5000
1	500	9.980008e-01	2.059545e-09	5000
2	500	9.970008e-01	9.729867e-09	5000
3	500	9.960062e-01	2.585380e-08	5000
4	500	9.950093e-01	5.635027e-08	5000
5	500	9.940099e-01	1.074528e-07	5000
6	500	9.930161e-01	1.755120e-07	5000
7	500	9.920170e-01	2.759801e-07	5000
8	500	9.910161e-01	3.999181e-07	5000
9	500	9.900182e-01	5.455478e-07	5000
10	500	9.890320e-01	7.604544e-07	5000
11	500	9.880365e-01	1.018847e-06	5000
12	500	9.870530e-01	1.272917e-06	5000
13	500	9.860687e-01	1.610916e-06	5000
14	500	9.850835e-01	2.001778e-06	5000
15	500	9.841092e-01	2.432989e-06	5000
16	500	9.831121e-01	2.921063e-06	5000
17	500	9.821170e-01	3.464484e-06	5000
18	500	9.811305e-01	4.121344e-06	5000
19	500	9.801512e-01	4.854334e-06	5000
20	500	9.791980e-01	5.631187e-06	5000
21	500	9.782313e-01	6.476696e-06	5000
22	500	9.772611e-01	7.150260e-06	5000
23	500	9.762792e-01	8.044341e-06	5000
24	500	9.752953e-01	8.985026e-06	5000
25	500	9.743221e-01	1.020687e-05	5000
26	500	9.733456e-01	1.144169e-05	5000
27	500	9.723814e-01	1.247767e-05	5000
28	500	9.714125e-01	1.399372e-05	5000
29	500	9.704615e-01	1.551514e-05	5000
30	500	9.694814e-01	1.749348e-05	5000
31	500	9.685025e-01	1.959021e-05	5000
32	500	9.675376e-01	2.135070e-05	5000
33	500	9.665474e-01	2.343432e-05	5000
34	500	9.655835e-01	2.503751e-05	5000
35	500	9.646259e-01	2.719741e-05	5000
36	500	9.636259e-01	3.007763e-05	5000
37	500	9.626937e-01	3.204668e-05	5000
38	500	9.617040e-01	3.444188e-05	5000
39	500	9.607141e-01	3.701338e-05	5000
40	500	9.597893e-01	3.926441e-05	5000
41	500	9.587998e-01	4.200975e-05	5000
42	500	9.578746e-01	4.404147e-05	5000
43	500	9.569280e-01	4.713312e-05	5000
44	500	9.559747e-01	5.040481e-05	5000
45	500	9.550728e-01	5.440098e-05	5000
46	500	9.540754e-01	5.723693e-05	5000
47	500	9.531747e-01	5.972147e-05	5000
48	500	9.522427e-01	6.377297e-05	5000
49	500	9.513205e-01	6.698578e-05	5000
50	500	9.503912e-01	7.175164e-05	5000
51	500	9.494370e-01	7.571798e-05	5000
52	500	9.484593e-01	8.065443e-05	5000
53	500	9.474708e-01	8.621124e-05	5000
54	500	9.465337e-01	9.055594e-05	5000
55	500	9.455786e-01	9.510981e-05	5000
56	500	9.446689e-01	9.931524e-05	5000
57	500	9.437904e-01	1.032262e-04	5000
58	500	9.428127e-01	1.096689e-04	5000
59	500	9.419432e-01	1.132607e-04	5000
60	500	9.410239e-01	1.176758e-04	5000
61	500	9.400640e-01	1.228356e-04	5000
62	500	9.391169e-01	1.293685e-04	5000
63	500	9.381272e-01	1.370786e-04	5000
64	500	9.372693e-01	1.421781e-04	5000
65	500	9.362672e-01	1.503721e-04	5000
66	500	9.353527e-01	1.551292e-04	5000
67	500	9.345014e-01	1.609915e-04	5000
68	500	9.336132e-01	1.671384e-04	5000
69	500	9.326918e-01	1.717781e-04	5000
70	500	9.317477e-01	1.810787e-04	5000
71	500	9.308373e-01	1.891456e-04	5000
72	500	9.298712e-01	1.979754e-04	5000
73	500	9.288482e-01	2.098805e-04	5000
74	500	9.279096e-01	2.161936e-04	5000
75	500	9.269316e-01	2.263637e-04	5000
76	500	9.259842e-01	2.351788e-04	5000
77	500	9.250787e-01	2.451601e-04	5000
78	500	9.241949e-01	2.534362e-04	5000
79	500	9.232500e-01	2.607035e-04	5000
80	500	9.223309e-01	2.690756e-04	5000
