t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.828528e-01	1.427954e-06	5000
2	100	9.708355e-01	9.246207e-06	5000
3	100	9.589650e-01	2.928961e-05	5000
4	100	9.471795e-01	6.896555e-05	5000
5	100	9.357839e-01	1.231251e-04	5000
6	100	9.240737e-01	2.117054e-04	5000
7	100	9.129808e-01	3.193635e-04	5000
8	100	9.019546e-01	4.635125e-04	5000
9	100	8.908503e-01	6.451433e-04	5000
10	100	8.797509e-01	8.670684e-04	5000
11	100	8.691951e-01	1.091622e-03	5000
12	100	8.589964e-01	1.331712e-03	5000
13	100	8.481264e-01	1.640796e-03	5000
14	100	8.378077e-01	1.985740e-03	5000
15	100	8.277269e-01	2.369607e-03	5000
16	100	8.178935e-01	2.809686e-03	5000
17	100	8.082990e-01	3.163037e-03	5000
18	100	7.986626e-01	3.637016e-03	5000
19	100	7.884480e-01	4.155005e-03	5000
20	100	7.787416e-01	4.843873e-03	5000
21	100	7.692112e-01	5.406558e-03	5000
22	100	7.598414e-01	5.908159e-03	5000
23	100	7.517769e-01	6.472068e-03	5000
24	100	7.427936e-01	7.121420e-03	5000
25	100	7.340284e-01	7.812189e-03	5000
26	100	7.256308e-01	8.457774e-03	5000
27	100	7.168361e-01	9.118536e-03	5000
28	100	7.085244e-01	9.667829e-03	5000
29	100	7.001675e-01	1.044557e-02	5000
30	100	6.911957e-01	1.124234e-02	5000
31	100	6.833099e-01	1.191024e-02	5000
32	100	6.744683e-01	1.251758e-02	5000
33	100	6.654356e-01	1.339686e-02	5000
34	100	6.570023e-01	1.433603e-02	5000
35	100	6.493209e-01	1.518743e-02	5000
36	100	6.413052e-01	1.601198e-02	5000
37	100	6.343514e-01	1.664752e-02	5000
38	100	6.271930e-01	1.708961e-02	5000
39	100	6.191063e-01	1.781280e-02	5000
40	100	6.109696e-01	1.892768e-02	5000
41	100	6.029070e-01	1.961734e-02	5000
42	100	5.951848e-01	2.053418e-02	5000
43	100	5.877237e-01	2.144705e-02	5000
44	100	5.806888e-01	2.227150e-02	5000
45	100	5.736127e-01	2.287958e-02	5000
46	100	5.661142e-01	2.361661e-02	5000
47	100	5.595406e-01	2.428364e-02	5000
48	100	5.521208e-01	2.527890e-02	5000
49	100	5.451089e-01	2.636836e-02	5000
50	100	5.378722e-01	2.738279e-02	5000
51	100	5.310083e-01	2.810843e-02	5000
52	100	5.249855e-01	2.895747e-02	5000
53	100	5.181036e-01	2.989591e-02	5000
54	100	5.110747e-01	3.076237e-02	5000
55	100	5.047308e-01	3.139654e-02	5000
56	100	4.986970e-01	3.224814e-02	5000
57	100	4.930808e-01	3.270444e-02	5000
58	100	4.873267e-01	3.351116e-02	5000
59	100	4.823866e-01	3.441966e-02	5000
60	100	4.763121e-01	3.550801e-02	5000
61	100	4.703833e-01	3.617455e-02	5000
62	100	4.641343e-01	3.679826e-02	5000
63	100	4.577157e-01	3.741667e-02	5000
64	100	4.519995e-01	3.805860e-02	5000
65	100	4.461883e-01	3.857970e-02	5000
66	100	4.395436e-01	3.921529e-02	5000
67	100	4.342127e-01	3.969613e-02	5000
68	100	4.288870e-01	4.016280e-02	5000
69	100	4.241835e-01	4.098180e-02	5000
70	100	4.185378e-01	4.152802e-02	5000
71	100	4.137149e-01	4.199573e-02	5000
72	100	4.091783e-01	4.240067e-02	5000
73	100	4.045280e-01	4.284086e-02	5000
74	100	3.999146e-01	4.307524e-02	5000
75	100	3.952543e-01	4.360419e-02	5000
76	100	3.904844e-01	4.388180e-02	5000
77	100	3.854748e-01	4.431978e-02	5000
78	100	3.807189e-01	4.473109e-02	5000
79	100	3.756273e-01	4.522355e-02	5000
80	100	3.710410e-01	4.568502e-02	5000
81	100	3.671789e-01	4.603096e-02	5000
82	100	3.623842e-01	4.650946e-02	5000
83	100	3.581812e-01	4.672598e-02	5000
84	100	3.531356e-01	4.708887e-02	5000
85	100	3.485384e-01	4.726313e-02	5000
86	100	3.443802e-01	4.738043e-02	5000
87	100	3.406639e-01	4.765738e-02	5000
88	100	3.360980e-01	4.768545e-02	5000
89	100	3.319797e-01	4.759683e-02	5000
90	100	3.273501e-01	4.770654e-02	5000
91	100	3.235357e-01	4.807900e-02	5000
92	100	3.201677e-01	4.790165e-02	5000
93	100	3.160463e-01	4.807811e-02	5000
94	100	3.126568e-01	4.809480e-02	5000
95	100	3.091462e-01	4.821445e-02	5000
96	100	3.052953e-01	4.840810e-02	5000
97	100	3.009794e-01	4.856488e-02	5000
98	100	2.976532e-01	4.854480e-02	5000
99	100	2.929268e-01	4.871639e-02	5000
100	100	2.895459e-01	4.897961e-02	5000

